ID	Name	Type	Organiser	City	Country	Start_Date	End_Date	Abstract_Deadline	Deadline	Cost_EUR	Travel_Grant_Available	Audience	Fit_1_5	Fit_Rationale	Competition_Level	Effort_Estimate	Confidence	Last_Verified	First_Seen	Last_Updated	Change_Flag	Next_Action	Owner_Status	URL	Source_Note
E-0011	BGA 2028 - 58th Annual Meeting of the Behavior Genetics Association	Conference	Behavior Genetics Association (BGA)	Tartu	Estonia						PROBABLE (la BGA da student travel awards y early career award cada anyo; plazo TBA)	Genetica estadistica y del comportamiento, gemelos, GWAS/PRS de rasgos complejos y psiquiatricos	5	Es la sala natural de su linea 1 (genetica estadistica de rasgos complejos) y cae en la UE, sin visado y con vuelo barato via Tallin/Helsinki, en 2028: con la tesis defendida en feb-2028 y sus dos primeros autores ya publicados llegaria en posicion de pedir charla oral en vez de poster. La sede es el Instituto de Genomica de la Universidad de Tartu (Biobanco de Estonia), grupo de referencia en PRS y biobancos poblacionales: es la ocasion mas barata que tendra de sentarse con ese equipo y con el nucleo BGA.	MEDIUM	S	VERIFIED	2026-09-14	2026-09-07	2026-09-07	UNCHANGED	Revisar la pagina de BGA Future Meetings en enero-2028 para fechas exactas y plazo de resumenes; apuntarla ya como objetivo post-tesis.		https://bga.org/content.aspx?page_id=22&club_id=971921&module_id=567675	Verificado indirectamente en la misma consulta a bga.org del 2026-09-14: sigue listada 2028 en Tartu con fecha TBA.
E-0012	ASHG 2027 - 77th Annual Meeting of the American Society of Human Genetics	Conference	American Society of Human Genetics (ASHG)	Nashville	Estados Unidos	2027-10-26	2027-10-30				UNVERIFIED (ASHG suele tener trainee/international travel awards; no comprobado para 2027)	Genetica humana en todas sus ramas; la mayor reunion mundial del campo (7.000-8.500 asistentes)	5	Es el escaparate mundial de sus lineas 1 y 2: sesiones de genetica estadistica, GWAS y PRS a diario y todo el ecosistema de consorcios psiquiatricos en el mismo pasillo. Octubre-2027 cae cinco meses despues de acabar la residencia (22-may-2027), asi que por primera vez podria ir sin gastar dias de libranza; a cambio es el destino mas caro de la lista (vuelo transatlantico + cuota de ~700 EUR sin descuento de socio) y necesita ESTA por ser ciudadana UE. Con dos primeros autores ya publicados para entonces, es el sitio donde buscar postdoc a la vez que presenta.	HIGH	S	LIKELY	2026-09-07	2026-09-07	2026-09-07	NEW	Vigilar ashg.org/meetings/future-past y la pagina de deadlines en marzo-2027: el plazo de resumenes de ASHG suele caer a comienzos de junio del anyo del congreso.		https://www.ashg.org/meetings/future-past/	Fechas 26-30 oct 2027 en Nashville (TN) coincidentes en la pagina de ASHG Future & Past Annual Meetings y en varios agregadores (eMedEvents, life-sciences-usa, showsbee) el 2026-09-07; no abri la pagina oficial linea a linea, de ahi LIKELY. Sin cuotas ni plazo de resumenes publicados aun.
E-0013	World Sleep 2027 - Congress of the World Sleep Society	Conference	World Sleep Society	Montreal	Canada	2027-09-10	2027-09-15		2027-01-20		UNVERIFIED (la World Sleep Society ha dado becas para jovenes investigadores en ediciones previas; no publicado para 2027)	Medicina e investigacion del sueno a escala mundial, >3.000 asistentes de 80+ paises	4	Es el foro mas grande de su linea 3 (sueno infantil) y el unico donde su revision en Journal of Sleep Research y el trabajo de genetica del sueno se leen ante la comunidad completa, no ante un subgrupo. Septiembre-2027 esta ya fuera de la residencia, asi que el reloj le juega a favor; pesa en contra el coste (vuelo transatlantico, cuota aun no publicada) y que Canada exige eTA a ciudadanos UE. Ventana util ya abierta: las propuestas de simposio se admiten desde el 15-ago-2026 hasta el 20-ene-2027, o sea que podria proponer un simposio de genetica del sueno pediatrico en vez de limitarse a un poster.	MEDIUM	M	VERIFIED	2026-09-07	2026-09-07	2026-09-07	NEW	Decidir antes de dic-2026 si propone simposio (cierre 20-ene-2027) y vigilar worldsleepcongress.com para la apertura del envio de resumenes individuales.		https://worldsleepsociety.org/world-sleep-2027-in-montreal/	Tier 1: worldsleepsociety.org (2026-09-07) confirma 10-15 sep 2027 en el Palais des Congres de Montreal. La ventana de simposios 15-ago-2026 a 20-ene-2027 procede de la pagina worldsleepsociety.org/shape-the-scientific-program-2027 via buscador; el plazo de resumenes ordinarios y las cuotas no estan publicados todavia.
E-0014	XXXV Reunion Anual de la Sociedad Espanola de Sueno (SES 2027)	Conference	Sociedad Espanola de Sueno (SES)	Logrono	Espana						UNVERIFIED	Medicina del sueno espanola: neurofisiologia, neumologia, pediatria y psicologia del sueno	3	Congreso nacional, barato y sin vuelo, con seccion pediatrica donde su revision de sueno en lactantes encaja; el contenido genetico es escaso, por eso no pasa de plausible.	LOW	XS	LIKELY	2026-09-07	2026-09-07	2026-09-07	NEW	Consultar congreso-ses.com/ses2027 en octubre-2026 para fechas exactas de marzo-2027, plazo de comunicaciones y cuota de residente; si cae en marzo, hay que pedir dias en el hospital con antelacion.		https://congreso-ses.com/ses2027/bienvenida	Tier 1: la web oficial del congreso (consultada 2026-09-07) confirma Logrono y presidencia del comite organizador (Dra. Alejandra Roncero Lazaro), pero no publica todavia fechas exactas, plazo de comunicaciones ni cuotas; el mes (marzo-2027) procede de fuentes secundarias, de ahi LIKELY. Precedentes: Granada 5-7 mar 2026, Santiago 24-26 abr 2025.
E-0015	Jornada AEGH 2027 (Asociacion Espanola de Genetica Humana)	Conference	Asociacion Espanola de Genetica Humana (AEGH)		Espana						UNVERIFIED	Genetica humana clinica y de laboratorio en Espana	3	Reunion nacional barata que cruza sus dos identidades (residente de Medicina de Laboratorio y genetista) y sirve para red de contactos en Espana, aunque el peso de genetica estadistica de rasgos complejos es bajo.	LOW	XS	UNVERIFIED	2026-09-14	2026-09-07	2026-09-14	UPDATED	Volver a aegh.org/congresos-y-jornadas-aegh en diciembre-2026 o enero-2027 para ver sede y fechas adjudicadas.		https://aegh.org/congresos-y-jornadas-aegh/	Re-comprobado el 2026-09-14 en aegh.org (paginas 'Congresos y Jornadas AEGH' y 'Jornada AEGH 2027 - Presentacion de candidaturas'): SIGUE sin anunciarse sede ni fechas. Se confirma el encaje del calendario: en 2026 toca el V Congreso Interdisciplinar en Genetica Humana (15-17 abr 2026, Granada) y por eso 2027 es ano de Jornada. El plazo de candidaturas de sede cerro a finales de octubre de 2025 y la adjudicacion no se ha publicado.
E-0016	EMGM 2027 - 55a European Mathematical Genetics Meeting	Congreso anual	European Mathematical Genetics Meeting (comunidad EMGM, sede rotatoria)	Por anunciar	Europa (sede rotatoria, por anunciar)						UNVERIFIED (no se anuncian becas en la web general de la EMGM)	Genetistas estadisticos, matematicos y epidemiologos geneticos europeos; reunion pequena de dos dias	5	Es la reunion europea que mejor describe su linea 1 sin rodeos: el alcance declarado de la EMGM nombra literalmente genetica de rasgos complejos, inferencia causal, prediccion de rasgos y salud personalizada, fine-mapping e imputacion, metodos multirrasgo y variantes raras -- el temario exacto de su tesis. Lo que le aporta frente a WCPG o ASHG es PROPORCION: dos dias y aforo pequeno, asi que una doctoranda presenta ante la misma sala en la que estan los metodologos en vez de competir por atencion entre 8.000 asistentes, y la conversacion de pasillo con un jefe de grupo es realista y no un golpe de suerte. Y es la opcion mas barata que va a encontrar para su linea principal: sede europea (sin visado, vuelo corto desde Espana), dos dias de permiso en vez de una semana -- lo cual importa de verdad mientras siga en residencia -- y cuotas de reunion pequena, muy por debajo de los ~700 EUR de ASHG o IGES. El pero real: la sede de 2027 todavia no tiene quien la organice, asi que hoy es vigilancia, no accion.	MEDIUM	XS	VERIFIED	2026-09-14	2026-09-14	2026-09-14	NEW	La 54a edicion (Davos, 14-15 abr 2026) ya paso y la de 2027 sigue sin anfitrion. Vigilar sites.google.com/site/emgmhome a partir de noviembre-2026; si en enero-2027 sigue TBA, escribir a los organizadores de Davos 2026 (emgm2026.sciencesconf.org) preguntando por sede y fechas de 2027, que es justo lo que la propia web pide hacer.		https://sites.google.com/site/emgmhome/future-meetings	Tier 1, pagina oficial de Future Meetings de la EMGM abierta el 2026-09-14. Texto literal para 2027: '2027 TBA - please contact the organisers of the 2025 or 2026 EMGM if you are interested in hosting the meeting'. Serie anual ininterrumpida desde el 10-abr-1973 en Sheffield. No se publican cuotas ni plazos de resumenes en la web general: dependen de cada sede anual (emgm2025.sciencesconf.org, emgm2026.sciencesconf.org, emgm2024.ista.ac.at en IST Austria).
E-0017	GAW 2027 - Genetic Analysis Workshop (convocatoria de ideas abierta)	Workshop colaborativo de analisis (reunion cientifica, no curso)	International Genetic Epidemiology Society (IGES)	Por anunciar	Por anunciar				2026-09-04		UNVERIFIED	Metodologos de genetica estadistica y epidemiologia genetica que analizan en paralelo un mismo conjunto de datos y contrastan resultados	4	El GAW no es un congreso de escaparate sino el formato en el que varios grupos analizan EL MISMO dataset con metodos distintos y comparan resultados en sala, que es precisamente donde una doctoranda de genetica estadistica demuestra criterio metodologico sin necesitar todavia un hallazgo propio espectacular. Eso importa para ella en concreto: sus dos manuscritos siguen en revision y no le dan aun peso de autora senior, pero un analisis bien hecho sobre datos comunes si la pone al nivel de la conversacion. Ademas lo organiza la IGES, la misma sociedad pequena del E-0005, asi que los contactos se acumulan en vez de dispersarse entre circulos distintos. Hoy esta abierta la convocatoria de ideas para el tema de datos de 2027: es una ventana de participacion temprana, aunque ni fechas ni sede ni plazo esten publicados.	MEDIUM	M	VERIFIED	2026-09-21	2026-09-14	2026-09-21	UPDATED	La convocatoria de IDEAS ya vencio: no hay nada que enviar. Lo siguiente es la convocatoria de PARTICIPACION, en la que los grupos se apuntan a los datos elegidos, y se anunciara en geneticepi.org y en la lista de correo de la IGES: vigilar esa pagina cada mes. Merece la pena entrar cuando abra, porque el GAW es trabajo colaborativo con publicacion conjunta y es una via realista de coautoria para quien aun no tiene publicaciones destacadas.		https://www.geneticepi.org/	geneticepi.org, seccion 'latest news', abierta el 2026-09-21. CERRADO lo que quedaba pendiente: la convocatoria de ideas del GAW 2027 cerro el 2026-09-04, hace 17 dias. Era una llamada de IDEAS de datos y preguntas de analisis, no de abstracts, por formulario de Google. Coordina Danny Panyard desde la IGES; su correo aparece ofuscado en la pagina y no se transcribe. El GAW vuelve en 2027 tras haberse interrumpido por falta de financiacion. Fechas y sede del GAW 2027 aun sin especificar.
E-0018	XXIX Congreso Nacional de Psiquiatria 2026	Congreso anual nacional	Sociedad Espanola de Psiquiatria y Salud Mental (SEPSM)	Sevilla	Espana	2026-11-12	2026-11-14				UNVERIFIED	Psiquiatras clinicos y profesionales de salud mental de Espana	2	Es barato y esta en Espana, pero es psiquiatria clinica y no genetica estadistica, y ella es residente de Medicina de Laboratorio: se registra solo para no volver a descubrirlo cada semana.	LOW	XS	LIKELY	2026-09-14	2026-09-14	2026-09-14	NEW	Ninguna accion. Revisar solo si alguna vez quiere red clinica de psiquiatria en Espana.		https://congresonacionaldepsiquiatria.es/	Tier 2, resultados de busqueda del 2026-09-14 (ficha de la Comunidad de Madrid y sepsm.org): 12-14 nov 2026 en Sevilla, organizado por la SEPSM. No se abrio la web oficial del congreso, de ahi LIKELY; cuotas y plazo de comunicaciones sin verificar. Descartado en la misma busqueda el XXXV Congreso Nacional de Psiquiatria Legal (Zaragoza, 20-22 may 2027) por no tener relacion con sus lineas.
E-0019	EPA 2027 - 35th European Congress of Psychiatry	Congress	European Psychiatric Association	Florence	Italy	2027-04-03	2027-04-06	2026-09-21	2026-09-21		Si - travel grants para early career, se solicitan DENTRO de la propia sumision del abstract	Psiquiatras, investigadores en salud mental, early career psychiatrists	4	ES EL UNICO EVENTO DE TODO EL MAPA CON EL PLAZO ABIERTO HOY, Y ES TAMBIEN EL UNICO CON DINERO ATADO AL PLAZO: los travel grants de early career se piden marcando una casilla DENTRO de la sumision del abstract, no despues, asi que enviar hoy es la unica via de que el viaje salga gratis. Lo que gana: Florencia es un vuelo corto y barato desde Malaga, sin visado; el congreso tiene 56 topicos entre ellos neurociencia y genetica, asi que un e-poster de GWAS/PRS de trastornos psiquiatricos entra sin forzar nada; y le pone su trabajo delante de psiquiatras europeos con grupo propio, que para una medica que busca postdoc clinico-genetico son mas utiles que un publico puramente metodologico. Material ya lo tiene: los dos manuscritos en revision. En contra: es un congreso clinico enorme y la visibilidad por poster es baja. El riesgo real es el calendario, NO el encaje: no hay late-breaking, asi que si no envia hoy pierde la edicion 2027 entera.	MEDIUM	S	VERIFIED	2026-09-21	2026-09-21	2026-09-21	NEW	HOY 21-sep-2026: enviar el abstract por el sistema online (no se aceptan por correo) y marcar la casilla de travel grant en la misma sumision. Notificacion a mediados de diciembre-2026. OJO si la aceptan: el autor presentador debe confirmar e inscribirse antes del 2027-02-01 o cae del programa.	NEW	https://epa-congress.org/abstract-submission/	epa-congress.org/abstract-submission abierta el 2026-09-21: fechas, sede, plazo de hoy, ausencia de late-breaking, early bird 2027-01-27 y confirmacion del presentador 2027-02-01 leidos todos en la pagina oficial. Las cuotas de inscripcion no estan publicadas; la inscripcion abre el 2027-01-27, que es tambien el cierre de early bird, de ahi que Cost_EUR quede vacio en vez de inventado. El ano pasado la EPA extendio el plazo tres dias anunciandolo en su cuenta de X, asi que si se pasa de hoy conviene mirar si hay extension, pero la pagina oficial NO promete ninguna.
E-0020	Probabilistic Modeling in Genomics 2027 (ProbGen 2027)	Methods conference	Cold Spring Harbor Laboratory	Cold Spring Harbor NY	USA	2027-03-01	2027-03-04	2027-01-08	2027-01-08	168	Desconocido	Desarrolladores de metodos en genetica estadistica y de poblaciones	3	El temario incluye explicitamente 'Quantitative Genetics and Association Mapping', que es su linea 1, y los organizadores (Nandita Garud, Adam Siepel, Yun Song) son nombres centrales de la genetica estadistica. El freno es que es una reunion de gente que DESARROLLA metodos y ella es usuaria de PLINK y R: 804-1088 EUR mas vuelo a Nueva York no se sostienen pagandolo ella. La jugada sensata es la inscripcion VIRTUAL de estudiante, 168 EUR, que da orales por Zoom, galeria de posters, el Slack del congreso y el archivo de video.	HIGH	XS virtual / M presencial	VERIFIED	2026-09-21	2026-09-21	2026-09-21	NEW	Decidir antes del 2027-01-08 si envia abstract; si no, inscripcion virtual de estudiante (plazo estandar de inscripcion 2027-02-25, 17:00 ET).	NEW	https://meetings.cshl.edu/meetings.aspx?meet=PRGEN	meetings.cshl.edu abierta el 2026-09-21. Precios originales en USD a ~0.86 EUR/USD: paquete estudiante presencial sin alojamiento 935 USD = 804 EUR; con alojamiento 1265 USD = 1088 EUR; VIRTUAL para estudiante de posgrado 195 USD = 168 EUR, que es el importe cargado en Cost_EUR. La ficha aparece etiquetada como 'past event' por un artefacto de la plantilla web, pero fechas, plazos y paquetes de 2027 estan publicados y son coherentes. CSHL recomienda que quien presente asista en persona.
E-0021	Epigenomics of Common Diseases 2026	Conference (hibrida)	Wellcome Connecting Science	Hinxton (Cambridge)	United Kingdom	2026-11-04	2026-11-06	2026-09-07	2026-10-26	63	Si, bursaries de hasta el 50% de la cuota, pero exigian abstract y cerraron el 2026-08-03	Investigadores en epigenomica, enfermedad compleja, desarrollo y envejecimiento	2	Tangencial a sus tres lineas y con los dos plazos que importaban ya vencidos: este ano solo podria ir de oyente.	MEDIUM	XS	VERIFIED	2026-09-21	2026-09-21	2026-09-21	NEW	Si quiere escuchar, inscribirse en virtual antes del 2026-10-26 por 63 EUR. Lo importante de esta fila no es 2026: es poner en seguimiento el calendario de conferencias de Wellcome Connecting Science para cazar 'Genomics of Brain Disorders' 2027-2028 con tiempo de pedir bursary, que cierra unos 3 meses antes del evento.	NEW	https://coursesandconferences.wellcomeconnectingscience.org/event/epigenomics-of-common-diseases-20261104/	Pagina oficial del evento abierta el 2026-09-21. Precios originales en GBP a ~1.15 EUR/GBP: virtual estudiante 55 GBP = 63 EUR (importe cargado); virtual academico 105 GBP = 121 EUR; presencial estudiante tarifa late 429 GBP = 493 EUR mas 240 GBP = 276 EUR por noche de alojamiento en campus. La presencial tardia cierra el 2026-10-05 y la virtual el 2026-10-26. Se ficha sobre todo porque descubre el patron util: las conferencias de esta serie son baratas para estudiantes, estan en Europa, tienen modalidad virtual y dan bursaries priorizando doctorandos. La edicion 2026 de 'Genomics of Brain Disorders', que si es su tema, fue el 16-18 sep 2026 y ya paso.
