ID	Source	Category	URL	What_It_Surfaces	Query_or_Filter	Cadence	Priority	Last_Checked	Notes
SRC-0013	HFSP Fellowships	FELLOWSHIPS	https://www.hfsp.org	Human Frontier Science Program postdoc fellowships, annual	annual call page; cross-disciplinary angle (genetics + neuroscience) is a good fit	monthly	MEDIUM		afinada tras definir el perfil, 2026-08-23
SRC-0014	la Caixa doctorado/posdoctorado	FELLOWSHIPS	https://fundacionlacaixa.org	Junior Leader postdoc fellowships (Spain/Portugal hosts)	Junior Leader Incoming/Retaining calls; Spain is home base, keep in play	monthly	MEDIUM		afinada tras definir el perfil, 2026-08-23
SRC-0015	ISCIII convocatorias	FELLOWSHIPS	https://www.isciii.es	Sara Borrell, Miguel Servet, Rio Hortega: contratos de investigacion en salud pensados para MD-PhD	Sara Borrell y Rio Hortega (postdoc temprano); Miguel Servet (mas senior, vigilar plazo); España sigue en juego	monthly	MEDIUM		afinada tras definir el perfil, 2026-08-23
SRC-0016	AEI convocatorias RRHH	FELLOWSHIPS	https://www.aei.gob.es	Juan de la Cierva, Ramon y Cajal (España)	Juan de la Cierva Formación/Incorporación y Ramón y Cajal; España sigue en juego	monthly	MEDIUM		afinada tras definir el perfil, 2026-08-23
SRC-0017	Humboldt Foundation	FELLOWSHIPS	https://www.humboldt-foundation.de	Incoming fellowships to Germany (rolling)	Alemania esta en juego (UE/EEE sin exclusiones); rolling postdoc fellowships	monthly	MEDIUM		afinada tras definir el perfil, 2026-08-23
SRC-0018	Wellcome Early-Career Awards	FELLOWSHIPS	https://wellcome.org/grant-funding	Early-career awards, UK-hosted (health-related research)	Reino Unido esta en juego (angloparlante YES); relevante por los hubs de genetica psiquiatrica (King's, Cardiff, Edinburgh)	monthly	MEDIUM		afinada tras definir el perfil, 2026-08-23
SRC-0019	FENS	GROUPS	https://www.fens.org	European neuroscience: job board, training, grants, FENS Forum	jobs + training + kavli network; keywords behavioural/cognitive neuroscience	weekly	HIGH		afinada tras definir el perfil, 2026-08-23
SRC-0020	IBRO	EVENTS	https://ibro.org	Global neuroscience grants, schools and events	schools and grants relevant to behavioural/cognitive neuroscience and to her Japan-stay skill set (electrophysiology/optogenetics)	monthly	MEDIUM		afinada tras definir el perfil, 2026-08-23
SRC-0021	SfN	EVENTS	https://www.sfn.org	Society for Neuroscience: annual meeting (abstract windows) and NeuroJobs	meeting dates + neurojobs	monthly	MEDIUM		afinada tras definir el perfil, 2026-08-23
SRC-0022	CAJAL training programme	TRAINING	https://cajal-training.org	Advanced hands-on neuroscience courses (Bordeaux/Lisbon)	open calls	monthly	MEDIUM		afinada tras definir el perfil, 2026-08-23
SRC-0023	EMBO Courses & Workshops	TRAINING	https://www.embo.org/events	Practical courses and workshops in life sciences	keywords "statistical genetics", "GWAS", "PRS", "sleep", "electrophysiology"	monthly	LOW		afinada tras definir el perfil, 2026-08-23
SRC-0024	CSHL Meetings & Courses	TRAINING	https://meetings.cshl.edu	Cold Spring Harbor courses and meetings	keywords "statistical genetics", "genomics", "computational neuroscience"	monthly	LOW		afinada tras definir el perfil, 2026-08-23
SRC-0025	ERC funded projects	GROUPS	https://erc.europa.eu	Fresh ERC awards = PIs with money to hire; project lists by panel	panel LS2 (Genetics, Genomics, Bioinformatics) and LS5 (Neuroscience/Neurology/Psychiatry)	monthly	MEDIUM		afinada tras definir el perfil, 2026-08-23
SRC-0026	World Congress of Psychiatric Genetics (WCPG)	EVENTS	https://worldcongressofpsychiatricgenetics.org	Central annual venue for GWAS/PRS psychiatric genetics: dates, abstract deadline, travel awards	abstract deadline + travel award programme	monthly	HIGH		añadida tras definir el perfil, 2026-08-23
SRC-0027	Psychiatric Genomics Consortium (PGC)	GROUPS	https://pgc.unc.edu	Working-group membership and activity map for GWAS/PRS psychiatric genetics; occasional analyst/training openings	working group pages by disorder; new working-group calls	monthly	HIGH		añadida tras definir el perfil, 2026-08-23
SRC-0028	Boletín Oficial del Estado (BOE) — especialidad de Genética	JOBS	https://www.boe.es	Real decreto y desarrollo de la via transitoria de la especialidad de Genetica Medica y de Laboratorio	buscar "Genética Médica y de Laboratorio", "vía transitoria", "real decreto especialidad"	weekly	HIGH		añadida tras definir el perfil, 2026-08-23; carril B, primera clase
SRC-0029	Bolsas/oposiciones de Genética por Comunidad Autónoma	JOBS	[TODO: una URL por CCAA — servicio de salud de cada comunidad]	Convocatorias de facultativo especialista en Genética/Análisis Clínicos por CCAA (bolsa de empleo, oposición o concurso: mecanismo distinto por comunidad)	revisar cada portal de salud autonómico por separado; empezar por Andalucía (SAS, dado el destino de la residencia en Málaga) y ampliar	monthly	HIGH		añadida tras definir el perfil, 2026-08-23; carril B, primera clase — URLs por CCAA pendientes de completar en la primera pasada
